SNo,State_Unionterritory,Total_population
1,A & N Islands,"404,000"
2,Andhra Pradesh,"53,340,000"
3,Arunachal Pradesh,"1,576,000"
4,Assam,"36,047,000"
5,Bihar,"128,592,000"
6,Chandigarh,"1,243,000"
7,Chhattisgarh,"30,524,000"
8,Dadra & Nagar Haveli and Daman & Diu,"657,587"
9,Delhi,"21,752,000"
10,Goa,"1,583,000"
11,Gujarat,"72,367,000"
12,Haryana,"30,573,000"
13,Himachal Pradesh,"7,505,000"
14,Jammu Kashmir,"13,701,000"
15,Jharkhand,"39,963,000"
16,Karnataka,"68,115,000"
17,Kerala,"35,920,000"
18,Ladakh,"302,000"
19,Lakshadweep,"69,000"
20,Madhya Pradesh,"87,610,000"
21,Maharashtra,"127,360,000"
22,Manipur,"3,253,000"
23,Meghalaya,"3,379,000"
24,Mizoram,"1,250,000"
25,Nagaland,"2,253,000"
26,Odisha,"46,566,000"
27,Puducherry,"1,391,163"
28,Punjab,"30,926,000"
29,Rajasthan,"81,897,000"
30,Sikkim,"695,000"
31,Tamil Nadu,"77,089,000"
32,Telangana,"38,272,000"
33,Tripura,"4,184,000"
34,Uttar Pradesh,"238,078,000"
35,Uttarakhand,"11,755,000"
36,West Bengal,"99,563,000"
