Day,Volume_in_Mn,Value_in_Cr
"July 1, 2025",653.51,"1,10,062.30"
"July 2, 2025",665,"1,04,976.26"
"July 3, 2025",644.7,"95,041.19"
"July 4, 2025",648.31,"92,737.86"
"July 5, 2025",656.14,"92,883.49"
"July 6, 2025",623.42,"69,207.26"
"July 7, 2025",641.58,"95,194.06"
"July 8, 2025",648.14,"89,965.21"
"July 9, 2025",638.14,"87,860.16"
"July 10, 2025",655.57,"90,757.83"
"July 11, 2025",646.05,"85,108.80"
"July 12, 2025",644.63,"77,724.93"
"July 13, 2025",634.89,"64,248.65"
"July 14, 2025",628.68,"86,145.07"
"July 15, 2025",634.67,"84,602.21"
"July 16, 2025",631.36,"81,454.60"
"July 17, 2025",618.25,"76,195.17"
"July 18, 2025",621.39,"73,841.65"
"July 19, 2025",624.44,"72,515.93"
"July 20, 2025",625.29,"60,707.39"
"July 21, 2025",612.67,"77,296.08"
"July 22, 2025",609.65,"73,274.46"
"June 1, 2025",644.31,"82,861.02"
"June 2, 2025",650.26,"1,06,309.47"
"June 3, 2025",648.74,"97,443.74"
"June 4, 2025",637.59,"98,723.85"
"June 5, 2025",641.39,"96,560.10"
"June 6, 2025",658.35,"93,649.21"
"June 7, 2025",606.83,"75,791.75"
"June 8, 2025",601.5,"63,812.40"
"June 9, 2025",623.17,"91,121.07"
"June 10, 2025",634.29,"91,838.53"
"June 11, 2025",626.61,"87,210.64"
"June 12, 2025",613.45,"82,500.72"
"June 13, 2025",613.38,"79,449.86"
"June 14, 2025",612.98,"74,677.34"
"June 15, 2025",605.64,"62,265.90"
"June 16, 2025",604.95,"82,363.95"
"June 17, 2025",597.52,"77,388.82"
"June 18, 2025",602.99,"77,121.90"
"June 19, 2025",590.94,"75,273.14"
"June 20, 2025",606.67,"74,977.80"
"June 21, 2025",603.78,"72,526.08"
"June 22, 2025",591.09,"57,113.84"
"June 23, 2025",592.61,"75,796.64"
"June 24, 2025",585.8,"72,710.14"
"June 25, 2025",595.44,"74,007.96"
"June 26, 2025",594.02,"74,401.66"
"June 27, 2025",598.3,"73,713.91"
"June 28, 2025",598.96,"70,198.78"
"June 29, 2025",589.47,"58,111.17"
"June 30, 2025",623.98,"1,04,009.30"
"May 1, 2025",627.04,"96,949.94"
"May 2, 2025",637.27,"1,00,248.07"
"May 3, 2025",638.12,"95,776.08"
"May 4, 2025",627.64,"78,825.85"
"May 5, 2025",629.59,"99,229.03"
"May 6, 2025",608.42,"89,592.71"
"May 7, 2025",615.6,"89,345.34"
"May 8, 2025",622.04,"88,440.61"
"May 9, 2025",613.06,"86,292.19"
"May 10, 2025",617.64,"83,538.15"
"May 11, 2025",602.32,"65,341.59"
"May 12, 2025",558.68,"78,333.03"
"May 13, 2025",605.07,"84,780.86"
"May 14, 2025",609.74,"84,134.23"
"May 15, 2025",606.49,"83,793.22"
"May 16, 2025",603.12,"78,259.65"
"May 17, 2025",605.87,"75,787.32"
"May 18, 2025",595.09,"60,347.30"
"May 19, 2025",594.81,"80,321.57"
"May 20, 2025",584.47,"78,514.86"
"May 21, 2025",591.01,"77,375.62"
"May 22, 2025",589.58,"75,556.00"
"May 23, 2025",591.76,"73,524.04"
"May 24, 2025",585.47,"69,120.98"
"May 25, 2025",583.56,"58,284.01"
"May 26, 2025",578.54,"76,999.96"
"May 27, 2025",577.51,"74,452.63"
"May 28, 2025",581.75,"75,951.73"
"May 29, 2025",579.36,"76,027.13"
"May 30, 2025",599.23,"86,128.51"
"May 31, 2025",617.63,"93,024.80"
"April 1, 2025",529.72,"74,937.00"
"April 2, 2025",619.28,"1,02,791.42"
"April 3, 2025",606.99,"95,332.97"
"April 4, 2025",618.69,"94,268.00"
"April 5, 2025",629.58,"90,299.35"
"April 6, 2025",588.27,"68,150.47"
"April 7, 2025",618.57,"98,216.32"
"April 8, 2025",624.9,"89,887.40"
"April 9, 2025",629.69,"91,452.18"
"April 10, 2025",605.42,"83,751.64"
"April 11, 2025",620.26,"85,297.83"
"April 12, 2025",554.3,"68,876.63"
"April 13, 2025",613.98,"65,305.33"
"April 14, 2025",582.69,"70,514.53"
"April 15, 2025",608.94,"83,768.29"
"April 16, 2025",606.39,"82,446.94"
"April 17, 2025",598.31,"79,567.11"
"April 18, 2025",578.18,"67,342.78"
"April 19, 2025",603.95,"74,613.71"
"April 20, 2025",587.89,"60,985.01"
"April 21, 2025",589.21,"79,430.34"
"April 22, 2025",582.01,"75,876.17"
"April 23, 2025",582.3,"74,632.32"
"April 24, 2025",580.2,"73,457.31"
"April 25, 2025",585.05,"74,213.96"
"April 26, 2025",583.12,"69,855.94"
"April 27, 2025",578.47,"57,359.23"
"April 28, 2025",583.22,"79,646.93"
"April 29, 2025",587.91,"81,121.96"
"April 30, 2025",615.99,"1,01,526.80"
"March 1, 2025",631.43,"1,01,627.92"
"March 2, 2025",608.03,"79,157.48"
"March 3, 2025",599.45,"97,185.42"
"March 4, 2025",594.56,"93,483.95"
"March 5, 2025",596.27,"93,034.38"
"March 6, 2025",584.1,"87,477.02"
"March 7, 2025",598,"87,218.22"
"March 8, 2025",605.76,"81,507.50"
"March 9, 2025",604.78,"68,403.22"
"March 10, 2025",611.04,"95,763.57"
"March 11, 2025",577.81,"84,906.83"
"March 12, 2025",601.72,"87,615.79"
"March 13, 2025",642.1,"85,570.94"
"March 14, 2025",514.99,"51,067.26"
"March 15, 2025",580.76,"71,801.28"
"March 16, 2025",572.15,"59,622.54"
"March 17, 2025",580.35,"80,668.23"
"March 18, 2025",572.64,"76,988.31"
"March 19, 2025",576.13,"76,504.71"
"March 20, 2025",575.82,"78,037.44"
"March 21, 2025",576.38,"74,557.68"
"March 22, 2025",584.23,"70,233.03"
"March 23, 2025",587.44,"58,953.84"
"March 24, 2025",578.44,"79,820.41"
"March 25, 2025",581.74,"79,710.62"
"March 26, 2025",550.51,"75,842.65"
"March 27, 2025",597.47,"81,231.40"
"March 28, 2025",605.24,"84,515.18"
"March 29, 2025",627.19,"87,115.79"
"March 30, 2025",619.27,"71,617.99"
"March 31, 2025",565.72,"75,980.99"
"February 1, 2025",604.75,"99,835.69"
"February 2, 2025",591.6,"75,620.60"
"February 3, 2025",582.39,"93,245.74"
"February 4, 2025",576.42,"91,126.60"
"February 5, 2025",585.68,"89,847.56"
"February 6, 2025",579.32,"85,577.46"
"February 7, 2025",582.16,"83,661.64"
"February 8, 2025",584.84,"78,394.48"
