SrNo,StateUnionTerritory,Volume,VolumeContribution,Value,ValueContribution
Jun 2025,MAHARASHTRA,"1,741.88",9.47%,"2,11,433.62",8.80%
Jun 2025,KARNATAKA,"1,000.66",5.44%,"1,34,850.46",5.61%
Jun 2025,UTTAR PRADESH,972.29,5.29%,"1,23,844.58",5.15%
Jun 2025,TELANGANA,738.37,4.01%,"1,18,822.08",4.94%
Jun 2025,TAMIL NADU,699.34,3.80%,"1,05,130.55",4.37%
Jun 2025,RAJASTHAN,478.63,2.60%,"69,889.10",2.91%
Jun 2025,MADHYA PRADESH,386.82,2.10%,"52,055.10",2.17%
Jun 2025,ANDHRA PRADESH,496.56,2.70%,"87,072.27",3.62%
Jun 2025,BIHAR,393.05,2.14%,"59,059.01",2.46%
Jun 2025,DELHI,420.11,2.28%,"50,811.91",2.11%
Jun 2025,GUJARAT,440.93,2.40%,"64,058.92",2.66%
Jun 2025,WEST BENGAL,396.75,2.16%,"57,448.44",2.39%
Jun 2025,HARYANA,361.02,1.96%,"48,951.40",2.04%
Jun 2025,ODISHA,247.92,1.35%,"31,882.11",1.33%
Jun 2025,KERALA,332.83,1.81%,"46,102.32",1.92%
Jun 2025,ASSAM,181.11,0.98%,"19,849.88",0.83%
Jun 2025,JHARKHAND,155.8,0.85%,"20,667.56",0.86%
Jun 2025,PUNJAB,187.82,1.02%,"30,674.02",1.28%
Jun 2025,CHHATTISGARH,120.57,0.66%,"15,492.34",0.64%
Jun 2025,UTTARAKHAND,110.35,0.60%,"13,596.45",0.57%
Jun 2025,JAMMU AND KASHMIR,76.74,0.42%,"9,485.08",0.39%
Jun 2025,HIMACHAL PRADESH,58.14,0.32%,"7,262.40",0.30%
Jun 2025,GOA,28.76,0.16%,"4,053.68",0.17%
Jun 2025,CHANDIGARH,22.92,0.12%,"2,742.47",0.11%
Jun 2025,ARUNACHAL PRADESH,17.84,0.10%,"2,271.25",0.09%
Jun 2025,PUDUCHERRY,16.65,0.09%,"2,250.01",0.09%
Jun 2025,MEGHALAYA,13.25,0.07%,"1,743.02",0.07%
Jun 2025,MANIPUR,10.79,0.06%,"2,212.05",0.09%
Jun 2025,TRIPURA,12.51,0.07%,"1,607.37",0.07%
Jun 2025,NAGALAND,10.09,0.05%,"1,506.22",0.06%
Jun 2025,DADRA & NAGAR HAVELI & DAMAN & DIU,9.47,0.05%,"1,020.22",0.04%
Jun 2025,MIZORAM,9.9,0.05%,"1,501.27",0.06%
Jun 2025,SIKKIM,7.61,0.04%,973.53,0.04%
Jun 2025,LADAKH,4.21,0.02%,680.01,0.03%
Jun 2025,ANDAMAN & NICOBAR,3.23,0.02%,481.96,0.02%
Jun 2025,LAKSHADWEEP,0.49,0.00%,47.78,0.00%
Jun 2025,Unclassified#,"8,229.58",44.74%,"10,02,400.27",41.70%
May 2025,MAHARASHTRA,"2,463.88",13.19%,"2,97,260.99",11.82%
May 2025,KARNATAKA,"1,443.05",7.73%,"2,00,378.42",7.97%
May 2025,UTTAR PRADESH,"1,401.43",7.50%,"1,82,118.99",7.24%
May 2025,TELANGANA,"1,088.58",5.83%,"1,74,971.59",6.96%
May 2025,TAMIL NADU,859.85,4.60%,"1,30,583.67",5.19%
May 2025,RAJASTHAN,763.44,4.09%,"1,12,439.70",4.47%
May 2025,MADHYA PRADESH,688.25,3.68%,"92,795.08",3.69%
May 2025,ANDHRA PRADESH,681.45,3.65%,"1,19,081.99",4.74%
May 2025,BIHAR,677.1,3.63%,"98,286.45",3.91%
May 2025,DELHI,605.31,3.24%,"72,520.26",2.88%
May 2025,GUJARAT,585.79,3.14%,"85,134.34",3.39%
May 2025,WEST BENGAL,579.06,3.10%,"87,037.14",3.46%
May 2025,HARYANA,462.67,2.48%,"65,952.89",2.62%
May 2025,ODISHA,416.5,2.23%,"52,003.42",2.07%
May 2025,KERALA,397.08,2.13%,"56,646.28",2.25%
May 2025,ASSAM,251.67,1.35%,"28,542.68",1.14%
